potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0437031657455749,-0.34124014084903637,-0.5026515236985256,-2.8035495381108566,-2.794243523315676,-1.2672320347322918,-3.3497076744537813
-1.0437031657455749,-0.34124014084903637,-0.5027425799488308,-2.8035188997313805,-2.7941488295655996,-1.2669485909829785,-3.3497076744537813
-1.0439771032462613,-0.3413303345991125,-0.502923829949212,-2.8036714988525153,-2.794243523315676,-1.2672320347322918,-3.349851976327866
-1.0437944782458035,-0.34127163235518737,-0.5030157486997462,-2.803976697094784,-2.7938647483153707,-1.266570665983894,-3.3496595738290864
-1.0436118532453458,-0.3413618261052635,-0.502923829949212,-2.8038547363531254,-2.7940541358155233,-1.2669485909829785,-3.349755775078476
-1.0437031657455749,-0.34109124485503467,-0.5028353611995935,-2.8038850783444795,-2.7943382170657523,-1.2672320347322918,-3.3497076744537813
-1.0438857907460326,-0.34109124485503467,-0.5026532486989832,-2.8036714988525153,-2.7940541358155233,-1.2669485909829785,-3.349803875703171
-1.0437944782458035,-0.34109124485503467,-0.5026532486989832,-2.8036714988525153,-2.794243523315676,-1.2669485909829785,-3.3497076744537813
-1.0438857907460326,-0.3413031238613384,-0.5028336361991359,-2.8036714988525153,-2.7943382170657523,-1.2669485909829785,-3.3497076744537813
-1.0437031657455749,-0.3413031238613384,-0.5028336361991359,-2.8036714988525153,-2.7941488295655996,-1.2672320347322918,-3.3496114732043916
-1.0438857907460326,-0.3413031238613384,-0.5027425799488308,-2.803610518481686,-2.7944329108158286,-1.2671375534825207,-3.349755775078476
-1.0440684157464903,-0.3413933176114145,-0.5028327736989069,-2.8037021372319915,-2.7944329108158286,-1.2671375534825207,-3.3497076744537813
-1.0438857907460326,-0.3413031238613384,-0.5025604674482205,-2.8034885577400273,-2.794243523315676,-1.2669485909829785,-3.349803875703171
-1.0439771032462613,-0.3413031238613384,-0.502924692449441,-2.80382409797365,-2.794811685816134,-1.267326515982063,-3.3499000769525606
-1.0437031657455749,-0.3413933176114145,-0.5027417174486017,-2.803824394361772,-2.794527604565905,-1.2672320347322918,-3.3499481775772555
-1.0437944782458035,-0.3413031238613384,-0.502924692449441,-2.8037324792233447,-2.7941488295655996,-1.2670430722327497,-3.3497076744537813
-1.0440684157464903,-0.34121293011126225,-0.5024702736981443,-2.8036717952406374,-2.794243523315676,-1.2668541097332073,-3.3496595738290864
-1.0438857907460326,-0.34121293011126225,-0.5024702736981443,-2.8034885577400273,-2.794243523315676,-1.2669485909829785,-3.349851976327866
-1.0438857907460326,-0.3413933176114145,-0.5028327736989069,-2.8037021372319915,-2.7940541358155233,-1.2669485909829785,-3.3496114732043916
-1.0438857907460326,-0.3411227363611857,-0.5025621924486781,-2.803610518481686,-2.794527604565905,-1.2668541097332073,-3.349851976327866
-1.0437031657455749,-0.3413031238613384,-0.5026515236985256,-2.8037327756114667,-2.7944329108158286,-1.267326515982063,-3.3496595738290864
-1.0437944782458035,-0.34121293011126225,-0.5027434424490598,-2.80357988010221,-2.794527604565905,-1.2672320347322918,-3.3497076744537813
-1.0439771032462613,-0.3413933176114145,-0.5028327736989069,-2.8037021372319915,-2.7944329108158286,-1.267326515982063,-3.3496114732043916
-1.0437944782458035,-0.34121293011126225,-0.5026523861987546,-2.8037021372319915,-2.794527604565905,-1.2669485909829785,-3.349851976327866
-1.0436118532453458,-0.3413031238613384,-0.5028336361991359,-2.8038547363531254,-2.7943382170657523,-1.2667596284834364,-3.3496595738290864
-1.0437944782458035,-0.34121293011126225,-0.5026523861987546,-2.803976993482907,-2.7940541358155233,-1.2671375534825207,-3.349755775078476
-1.0438857907460326,-0.3413031238613384,-0.5027425799488308,-2.8035188997313805,-2.794243523315676,-1.2671375534825207,-3.349803875703171
-1.0437031657455749,-0.3413346153674893,-0.5027425799488308,-2.803610518481686,-2.794527604565905,-1.2669485909829785,-3.3497076744537813
-1.0439771032462613,-0.341515002867642,-0.5030140236992886,-2.803488261351905,-2.793959442065447,-1.2667596284834364,-3.349563372579697
-1.0437031657455749,-0.3412444216174132,-0.5028344986993649,-2.8035492417227346,-2.793959442065447,-1.2660982597350385,-3.349851976327866
-1.0437031657455749,-0.34142480911756545,-0.5028327736989069,-2.8038853747326016,-2.7947169920660575,-1.2672320347322918,-3.3497076744537813
-1.0438857907460326,-0.34142480911756545,-0.5028327736989069,-2.8035188997313805,-2.794527604565905,-1.2675154784816052,-3.3499481775772555
-1.0437031657455749,-0.34160519661771815,-0.5031952736996699,-2.803915716723955,-2.794527604565905,-1.267326515982063,-3.349803875703171
-1.0438857907460326,-0.3413346153674893,-0.5028336361991359,-2.8038547363531254,-2.7943382170657523,-1.2671375534825207,-3.3499000769525606
-1.0437031657455749,-0.34142480911756545,-0.5025596049479915,-2.803610814869808,-2.7944329108158286,-1.2672320347322918,-3.3497076744537813
