potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6
-0.0011222045545959958,0.0022299667570493398,0.003117921595153561,0.018399357675757056,-0.06769153155548047,0.02923785245254562,2.67342286910553
-0.0009378045549013336,0.0022299667570493398,0.00302607159500079,0.018153658231264993,-0.06778630030578592,0.02923785245254562,2.6733272403550723
-0.0011222045545959958,0.002138679256896925,0.003026634095001146,0.018399357675757056,-0.06769153155548047,0.02923785245254562,2.6733272403550723
-0.0010300045547486647,0.002138679256896925,0.0032103340953062443,0.018706569065350693,-0.067407225304565,0.02868150245208767,2.6731359828541565
-0.0009378045549013336,0.002138679256896925,0.003026634095001146,0.018583545175146366,-0.06759676280517546,0.02923785245254562,2.6733750547303012
-0.0009378045549013336,0.002138679256896925,0.003026634095001146,0.018215170176367302,-0.06731245655425999,0.02914512745246922,2.6732316116046144
-0.0008456045550540026,0.002138679256896925,0.0032103340953062443,0.018522381565961383,-0.06769153155548047,0.02933057745262202,2.67342286910553
-0.0011222045545959958,0.0022299667570493398,0.003117921595153561,0.01849145142545171,-0.06778630030578592,0.02914512745246922,2.6733272403550723
-0.001214404554443771,0.002138679256896925,0.002934784094848375,0.018337845730654747,-0.06759676280517546,0.02914512745246922,2.6733272403550723
-0.0011222045545959958,0.002138679256896925,0.003026634095001146,0.01849145142545171,-0.06750199405487045,0.029516027452774374,2.6732794259798434
-0.0010300045547486647,0.002321254257202199,0.003301059095458747,0.01836877587116397,-0.06797583780639638,0.02923785245254562,2.6733272403550723
-0.0010300045547486647,0.0022299667570493398,0.002934221594848463,0.018368427535247388,-0.06750199405487045,0.029052402452392823,2.6733750547303012
-0.0014910045539857641,0.001956104256591651,0.002660359094390774,0.018460521284942043,-0.06750199405487045,0.02923785245254562,2.6732316116046144
-0.0008456045550540026,0.002138679256896925,0.003118484095153473,0.01846086962085907,-0.06778630030578592,0.02914512745246922,2.6733750547303012
-0.001214404554443771,0.00204739175674451,0.0031190465951538293,0.018890756564740447,-0.06759676280517546,0.02933057745262202,2.67342286910553
-0.0008456045550540026,0.002138679256896925,0.003026634095001146,0.01849145142545171,-0.067407225304565,0.029052402452392823,2.6733272403550723
-0.0010300045547486647,0.0024125417573546137,0.003300496595458835,0.018583545175146366,-0.06835491280761685,0.029516027452774374,2.673470683480759
-0.001214404554443771,0.00204739175674451,0.002935346594848731,0.018399357675757056,-0.06769153155548047,0.02914512745246922,2.6733272403550723
-0.0011222045545959958,0.002321254257202199,0.003117359095153649,0.018337845730654747,-0.06778630030578592,0.02923785245254562,2.6733750547303012
-0.0011222045545959958,0.002138679256896925,0.003118484095153473,0.018552963370553725,-0.06807060655670139,0.02914512745246922,2.6732794259798434
-0.001214404554443771,0.002321254257202199,0.003117359095153649,0.018153658231264993,-0.06759676280517546,0.029052402452392823,2.6732794259798434
-0.0011222045545959958,0.002138679256896925,0.002842934094696048,0.018276333785552733,-0.06788106905609093,0.029423302452697975,2.6733272403550723
-0.0010300045547486647,0.002321254257202199,0.003117359095153649,0.01870622072943381,-0.06778630030578592,0.02914512745246922,2.6733272403550723
-0.0010300045547486647,0.0022299667570493398,0.003117921595153561,0.01849145142545171,-0.06759676280517546,0.02923785245254562,2.6733272403550723
-0.001306604554291102,0.0022299667570493398,0.003117921595153561,0.018399357675757056,-0.06759676280517546,0.02923785245254562,2.6732794259798434
-0.0008456045550540026,0.00204739175674451,0.003027196595001058,0.01836877587116397,-0.06759676280517546,0.02923785245254562,2.6732794259798434
-0.0011222045545959958,0.0022299667570493398,0.00302607159500079,0.018614126979739156,-0.067407225304565,0.02923785245254562,2.67342286910553
-0.0009378045549013336,0.002321254257202199,0.003117359095153649,0.018522033230044057,-0.06797583780639638,0.029608752452850773,2.67342286910553
-0.0009378045549013336,0.002138679256896925,0.003026634095001146,0.018399357675757056,-0.067407225304565,0.02914512745246922,2.6731837972293855
-0.0009378045549013336,0.002138679256896925,0.003118484095153473,0.01864505712024838,-0.06797583780639638,0.029423302452697975,2.6733272403550723
-0.0010300045547486647,0.0022299667570493398,0.00302607159500079,0.018337845730654747,-0.06778630030578592,0.029423302452697975,2.6733272403550723
-0.0011222045545959958,0.002321254257202199,0.00320920909530642,0.018399357675757056,-0.06797583780639638,0.029423302452697975,2.6733750547303012
-0.0009378045549013336,0.002321254257202199,0.003301059095458747,0.018552963370553725,-0.06807060655670139,0.029701477452927172,2.6733750547303012
-0.0010300045547486647,0.001956104256591651,0.002844059094695872,0.018215170176367302,-0.06788106905609093,0.02914512745246922,2.6732794259798434
-0.0009378045549013336,0.002138679256896925,0.003026634095001146,0.018583545175146366,-0.067407225304565,0.029052402452392823,2.6733272403550723
-0.0011222045545959958,0.002321254257202199,0.003117359095153649,0.018522033230044057,-0.06788106905609093,0.02933057745262202,2.67342286910553
-0.0011222045545959958,0.002138679256896925,0.002751084094543277,0.018399009339839734,-0.06769153155548047,0.02923785245254562,2.67342286910553
-0.0010300045547486647,0.002138679256896925,0.002842934094696048,0.018368427535247388,-0.06816537530700639,0.02979420245300357,2.673470683480759
-0.0009378045549013336,0.0022299667570493398,0.003209771595305888,0.018552963370553725,-0.06769153155548047,0.02923785245254562,2.6732316116046144
-0.0010300045547486647,0.0022299667570493398,0.002934221594848463,0.01809214628616298,-0.06778630030578592,0.029423302452697975,2.6732794259798434
-0.0010300045547486647,0.00204739175674451,0.00284349659469596,0.018522033230044057,-0.06778630030578592,0.02923785245254562,2.6731837972293855
-0.001214404554443771,0.0022299667570493398,0.002934221594848463,0.018368427535247388,-0.06778630030578592,0.029516027452774374,2.6732794259798434
-0.0010300045547486647,0.002138679256896925,0.002751084094543277,0.01830691559014508,-0.06797583780639638,0.02923785245254562,2.6732794259798434
-0.001214404554443771,0.002138679256896925,0.003118484095153473,0.018552963370553725,-0.06778630030578592,0.02914512745246922,2.6733272403550723
-0.0011222045545959958,0.0022299667570493398,0.003209771595305888,0.01846086962085907,-0.06759676280517546,0.02923785245254562,2.6732794259798434
-0.0008456045550540026,0.00204739175674451,0.003027196595001058,0.018552963370553725,-0.06759676280517546,0.02923785245254562,2.6733750547303012
-0.0008456045550540026,0.002138679256896925,0.002934784094848375,0.018153658231264993,-0.06769153155548047,0.02933057745262202,2.67342286910553
-0.0009378045549013336,0.002321254257202199,0.003117359095153649,0.018061564481569894,-0.06759676280517546,0.02868150245208767,2.6729447253532412
-0.0011222045545959958,0.0022299667570493398,0.003117921595153561,0.01849145142545171,-0.06759676280517546,0.02923785245254562,2.6733750547303012
-0.0009378045549013336,0.002138679256896925,0.003118484095153473,0.01864505712024838,-0.06788106905609093,0.02933057745262202,2.673470683480759
-0.0009378045549013336,0.0022299667570493398,0.003209771595305888,0.018552963370553725,-0.06778630030578592,0.02914512745246922,2.6732794259798434
-0.0010300045547486647,0.002138679256896925,0.002934784094848375,0.018337845730654747,-0.06788106905609093,0.02923785245254562,2.6732794259798434
-0.0008456045550540026,0.0022299667570493398,0.00302607159500079,0.01870622072943381,-0.06759676280517546,0.02923785245254562,2.6731359828541565
-0.001214404554443771,0.00204739175674451,0.002935346594848731,0.018583545175146366,-0.06788106905609093,0.02923785245254562,2.6733272403550723
-0.0010300045547486647,0.002138679256896925,0.003118484095153473,0.018276682121469316,-0.06816537530700639,0.02933057745262202,2.6733750547303012
-0.0010300045547486647,0.001956104256591651,0.002660359094390774,0.01809214628616298,-0.06826014405731184,0.02979420245300357,2.673518497855988
-0.0011222045545959958,0.0022299667570493398,0.00302607159500079,0.018522033230044057,-0.06759676280517546,0.029516027452774374,2.6732794259798434
-0.0011222045545959958,0.001956104256591651,0.0030277590950009703,0.018706569065350693,-0.06778630030578592,0.02933057745262202,2.6732794259798434
-0.001214404554443771,0.002321254257202199,0.003025509095001322,0.018276333785552733,-0.06797583780639638,0.02914512745246922,2.6733272403550723
-0.0011222045545959958,0.002138679256896925,0.003118484095153473,0.018276682121469316,-0.06759676280517546,0.02933057745262202,2.6733272403550723
-0.0008456045550540026,0.002321254257202199,0.0034847590957642893,0.018675987260758347,-0.06788106905609093,0.029516027452774374,2.6733272403550723
-0.0010300045547486647,0.002138679256896925,0.002934784094848375,0.018337845730654747,-0.06826014405731184,0.02979420245300357,2.673518497855988
-0.0011222045545959958,0.002138679256896925,0.002934784094848375,0.018337845730654747,-0.06788106905609093,0.029052402452392823,2.6733750547303012
-0.0010300045547486647,0.002138679256896925,0.003026634095001146,0.018583545175146366,-0.06769153155548047,0.02923785245254562,2.6733272403550723
-0.0011222045545959958,0.00204739175674451,0.0031190465951538293,0.018614475315656038,-0.06788106905609093,0.02933057745262202,2.6733750547303012
-0.0010300045547486647,0.002321254257202199,0.003117359095153649,0.018061564481569894,-0.06788106905609093,0.02923785245254562,2.6733750547303012
-0.0009378045549013336,0.0022299667570493398,0.003209771595305888,0.01864505712024838,-0.06778630030578592,0.02923785245254562,2.6733272403550723
-0.0010300045547486647,0.0022299667570493398,0.003209771595305888,0.01836877587116397,-0.06797583780639638,0.02923785245254562,2.6732316116046144
-0.0009378045549013336,0.002321254257202199,0.003117359095153649,0.018153658231264993,-0.067407225304565,0.029052402452392823,2.6732316116046144
-0.0010300045547486647,0.002321254257202199,0.003117359095153649,0.018522033230044057,-0.06778630030578592,0.029423302452697975,2.6732316116046144
-0.0010300045547486647,0.0022299667570493398,0.003209771595305888,0.018276682121469316,-0.06759676280517546,0.02933057745262202,2.6732316116046144
-0.0008456045550540026,0.002138679256896925,0.002934784094848375,0.018429939480349402,-0.06797583780639638,0.02923785245254562,2.6733272403550723
-0.0011222045545959958,0.002138679256896925,0.003026634095001146,0.01849145142545171,-0.06797583780639638,0.029423302452697975,2.673470683480759
-0.0009378045549013336,0.002321254257202199,0.00320920909530642,0.018583545175146366,-0.06750199405487045,0.02886695245224047,2.6732316116046144
-0.0010300045547486647,0.002138679256896925,0.0033021840954590154,0.018675987260758347,-0.06797583780639638,0.02914512745246922,2.6733272403550723
-0.0009378045549013336,0.0022299667570493398,0.00302607159500079,0.018153658231264993,-0.06807060655670139,0.029886927453079526,2.673518497855988
-0.001214404554443771,0.002138679256896925,0.002934784094848375,0.018522033230044057,-0.06816537530700639,0.029423302452697975,2.67342286910553
-0.0009378045549013336,0.0024125417573546137,0.003300496595458835,0.01849145142545171,-0.06759676280517546,0.028959677452316868,2.6732316116046144
-0.0009378045549013336,0.002321254257202199,0.003301059095458747,0.01864505712024838,-0.06778630030578592,0.02914512745246922,2.6733272403550723
-0.0011222045545959958,0.002138679256896925,0.002751084094543277,0.018399009339839734,-0.06750199405487045,0.029052402452392823,2.6731837972293855
-0.0011222045545959958,0.00204739175674451,0.002935346594848731,0.01849145142545171,-0.06797583780639638,0.029516027452774374,2.6733272403550723
-0.0009378045549013336,0.00204739175674451,0.003027196595001058,0.018552963370553725,-0.06759676280517546,0.02914512745246922,2.6731837972293855
-0.0006612045553588963,0.002321254257202199,0.003301059095458747,0.018276682121469316,-0.06797583780639638,0.02914512745246922,2.6732794259798434
-0.0007534045552066715,0.00204739175674451,0.003027196595001058,0.018276682121469316,-0.06854445030822731,0.029886927453079526,2.6736141266064455
-0.0011222045545959958,0.00204739175674451,0.0032108965953066004,0.01830761226197884,-0.06778630030578592,0.029423302452697975,2.6732316116046144
-0.0010300045547486647,0.002138679256896925,0.002842934094696048,0.018368427535247388,-0.06788106905609093,0.02923785245254562,2.6732794259798434
-0.0011222045545959958,0.0022299667570493398,0.00302607159500079,0.018337845730654747,-0.067407225304565,0.02914512745246922,2.6732316116046144
-0.001214404554443771,0.001956104256591651,0.002660359094390774,0.018368427535247388,-0.06788106905609093,0.029423302452697975,2.6732794259798434
-0.0010300045547486647,0.002138679256896925,0.003118484095153473,0.01846086962085907,-0.06759676280517546,0.029052402452392823,2.6731359828541565
-0.0011222045545959958,0.0022299667570493398,0.003209771595305888,0.018552963370553725,-0.06769153155548047,0.02914512745246922,2.6733272403550723
